=== Cargo Screen Log Started ===
[12:03:31] [I] cargoScreen: onCargoGenerated called: cargoId=18, origin.facId=coastWarehouse
[12:03:32] [I] cargoScreen: onCargoGenerated called: cargoId=324, origin.facId=cityCommercial_parking2
[12:03:32] [I] cargoScreen: onCargoGenerated: cargoOverviewScreenOpen is false, returning
[12:03:32] [I] cargoScreen: onCargoGenerated called: cargoId=325, origin.facId=cityCommercial_parking2
[12:03:32] [I] cargoScreen: onCargoGenerated: cargoOverviewScreenOpen is false, returning
[12:03:32] [I] cargoScreen: onCargoGenerated called: cargoId=326, origin.facId=cityCommercial_parking2
[12:03:32] [I] cargoScreen: onCargoGenerated: cargoOverviewScreenOpen is false, returning
[12:03:32] [I] cargoScreen: onCargoGenerated called: cargoId=327, origin.facId=cityCommercial_parking2
[12:03:32] [I] cargoScreen: onCargoGenerated: cargoOverviewScreenOpen is false, returning
[12:03:32] [I] cargoScreen: onCargoGenerated called: cargoId=328, origin.facId=cityCommercial_parking2
[12:03:32] [I] cargoScreen: onCargoGenerated: cargoOverviewScreenOpen is false, returning
[12:03:32] [I] cargoScreen: onCargoGenerated called: cargoId=329, origin.facId=cityCommercial_parking2
[12:03:32] [I] cargoScreen: onCargoGenerated: cargoOverviewScreenOpen is false, returning
[12:03:32] [I] cargoScreen: onCargoGenerated called: cargoId=330, origin.facId=cityCommercial_parking2
[12:03:32] [I] cargoScreen: onCargoGenerated: cargoOverviewScreenOpen is false, returning
[12:03:32] [I] cargoScreen: onCargoGenerated called: cargoId=331, origin.facId=cityCommercial_parking2
[12:03:32] [I] cargoScreen: onCargoGenerated: cargoOverviewScreenOpen is false, returning
[12:03:32] [I] cargoScreen: onCargoGenerated called: cargoId=332, origin.facId=cityCommercial_parking2
[12:03:32] [I] cargoScreen: onCargoGenerated: cargoOverviewScreenOpen is false, returning
[12:03:32] [I] cargoScreen: onCargoGenerated called: cargoId=333, origin.facId=cityCommercial_parking2
[12:03:32] [I] cargoScreen: onCargoGenerated: cargoOverviewScreenOpen is false, returning
[12:03:32] [I] cargoScreen: onCargoGenerated called: cargoId=334, origin.facId=cityCommercial_parking2
[12:03:32] [I] cargoScreen: onCargoGenerated: cargoOverviewScreenOpen is false, returning
[12:03:32] [I] cargoScreen: onCargoGenerated called: cargoId=335, origin.facId=cityCommercial_parking2
[12:03:32] [I] cargoScreen: onCargoGenerated: cargoOverviewScreenOpen is false, returning
[12:03:32] [I] cargoScreen: onCargoGenerated called: cargoId=336, origin.facId=cityCommercial_parking2
[12:03:32] [I] cargoScreen: onCargoGenerated: cargoOverviewScreenOpen is false, returning
[12:03:32] [I] cargoScreen: onCargoGenerated called: cargoId=337, origin.facId=cityCommercial_parking2
[12:03:32] [I] cargoScreen: onCargoGenerated: cargoOverviewScreenOpen is false, returning
[12:03:32] [I] cargoScreen: onCargoGenerated called: cargoId=338, origin.facId=cityCommercial_parking2
[12:03:32] [I] cargoScreen: onCargoGenerated: cargoOverviewScreenOpen is false, returning
[12:03:32] [I] cargoScreen: onCargoGenerated called: cargoId=339, origin.facId=cityCommercial_parking2
[12:03:32] [I] cargoScreen: onCargoGenerated: cargoOverviewScreenOpen is false, returning
[12:03:32] [I] cargoScreen: onCargoGenerated called: cargoId=340, origin.facId=cityCommercial_parking2
[12:03:32] [I] cargoScreen: onCargoGenerated: cargoOverviewScreenOpen is false, returning
[12:03:32] [I] cargoScreen: onCargoGenerated called: cargoId=341, origin.facId=cityCommercial_parking2
[12:03:32] [I] cargoScreen: onCargoGenerated: cargoOverviewScreenOpen is false, returning
[12:03:32] [I] cargoScreen: onCargoGenerated called: cargoId=342, origin.facId=cityCommercial_parking2
[12:03:32] [I] cargoScreen: onCargoGenerated: cargoOverviewScreenOpen is false, returning
[12:03:32] [I] cargoScreen: onCargoGenerated called: cargoId=343, origin.facId=cityCommercial_parking2
[12:03:32] [I] cargoScreen: onCargoGenerated: cargoOverviewScreenOpen is false, returning
[12:03:32] [I] cargoScreen: onCargoGenerated called: cargoId=344, origin.facId=cityCommercial_parking2
[12:03:32] [I] cargoScreen: onCargoGenerated: cargoOverviewScreenOpen is false, returning
[12:03:32] [I] cargoScreen: onCargoGenerated called: cargoId=345, origin.facId=cityCommercial_parking2
[12:03:32] [I] cargoScreen: onCargoGenerated: cargoOverviewScreenOpen is false, returning
[12:03:32] [I] cargoScreen: onCargoGenerated called: cargoId=346, origin.facId=cityCommercial_parking2
[12:03:32] [I] cargoScreen: onCargoGenerated: cargoOverviewScreenOpen is false, returning
[12:03:32] [I] cargoScreen: onCargoGenerated called: cargoId=347, origin.facId=cityCommercial_parking2
[12:03:32] [I] cargoScreen: onCargoGenerated: cargoOverviewScreenOpen is false, returning
[12:03:32] [I] cargoScreen: onCargoGenerated called: cargoId=348, origin.facId=cityCommercial_parking2
[12:03:32] [I] cargoScreen: onCargoGenerated: cargoOverviewScreenOpen is false, returning
[12:03:32] [I] cargoScreen: onCargoGenerated called: cargoId=349, origin.facId=cityCommercial_parking2
[12:03:32] [I] cargoScreen: onCargoGenerated: cargoOverviewScreenOpen is false, returning
[12:03:32] [I] cargoScreen: onCargoGenerated called: cargoId=350, origin.facId=cityCommercial_parking2
[12:03:32] [I] cargoScreen: onCargoGenerated: cargoOverviewScreenOpen is false, returning
[12:03:32] [I] cargoScreen: onCargoGenerated called: cargoId=351, origin.facId=cityCommercial_parking2
[12:03:32] [I] cargoScreen: onCargoGenerated: cargoOverviewScreenOpen is false, returning
[12:03:32] [I] cargoScreen: onCargoGenerated called: cargoId=352, origin.facId=cityCommercial_parking2
[12:03:32] [I] cargoScreen: onCargoGenerated: cargoOverviewScreenOpen is false, returning
[12:03:32] [I] cargoScreen: onCargoGenerated called: cargoId=353, origin.facId=cityCommercial_parking2
[12:03:32] [I] cargoScreen: onCargoGenerated: cargoOverviewScreenOpen is false, returning
[12:03:32] [I] cargoScreen: onCargoGenerated called: cargoId=354, origin.facId=cityCommercial_parking2
[12:03:32] [I] cargoScreen: onCargoGenerated: cargoOverviewScreenOpen is false, returning
[12:03:32] [I] cargoScreen: onCargoGenerated called: cargoId=355, origin.facId=cityCommercial_parking2
[12:03:32] [I] cargoScreen: onCargoGenerated: cargoOverviewScreenOpen is false, returning
[12:03:32] [I] cargoScreen: onCargoGenerated called: cargoId=356, origin.facId=cityCommercial_parking2
[12:03:32] [I] cargoScreen: onCargoGenerated: cargoOverviewScreenOpen is false, returning
[12:03:32] [I] cargoScreen: onCargoGenerated called: cargoId=357, origin.facId=cityCommercial_parking2
[12:03:32] [I] cargoScreen: onCargoGenerated: cargoOverviewScreenOpen is false, returning
[12:03:32] [I] cargoScreen: onCargoGenerated called: cargoId=358, origin.facId=cityCommercial_parking2
[12:03:32] [I] cargoScreen: onCargoGenerated: cargoOverviewScreenOpen is false, returning
[12:03:32] [I] cargoScreen: onCargoGenerated called: cargoId=359, origin.facId=cityCommercial_parking2
[12:03:32] [I] cargoScreen: onCargoGenerated: cargoOverviewScreenOpen is false, returning
[12:03:32] [I] cargoScreen: onCargoGenerated called: cargoId=360, origin.facId=cityCommercial_parking2
[12:03:32] [I] cargoScreen: onCargoGenerated: cargoOverviewScreenOpen is false, returning
[12:03:32] [I] cargoScreen: onCargoGenerated called: cargoId=361, origin.facId=cityCommercial_parking2
[12:03:32] [I] cargoScreen: onCargoGenerated: cargoOverviewScreenOpen is false, returning
[12:03:32] [I] cargoScreen: onCargoGenerated called: cargoId=362, origin.facId=cityCommercial_parking2
[12:03:32] [I] cargoScreen: onCargoGenerated: cargoOverviewScreenOpen is false, returning
[12:03:32] [I] cargoScreen: onCargoGenerated called: cargoId=363, origin.facId=cityCommercial_parking2
[12:03:32] [I] cargoScreen: onCargoGenerated: cargoOverviewScreenOpen is false, returning
[12:03:32] [I] cargoScreen: onCargoGenerated called: cargoId=364, origin.facId=port
[12:03:32] [I] cargoScreen: onCargoGenerated: cargoOverviewScreenOpen is false, returning
[12:03:32] [I] cargoScreen: onCargoGenerated called: cargoId=365, origin.facId=port
[12:03:32] [I] cargoScreen: onCargoGenerated: cargoOverviewScreenOpen is false, returning
[12:03:32] [I] cargoScreen: onCargoGenerated called: cargoId=366, origin.facId=port
[12:03:32] [I] cargoScreen: onCargoGenerated: cargoOverviewScreenOpen is false, returning
[12:03:32] [I] cargoScreen: onCargoGenerated called: cargoId=367, origin.facId=port
[12:03:32] [I] cargoScreen: onCargoGenerated: cargoOverviewScreenOpen is false, returning
[12:03:32] [I] cargoScreen: onCargoGenerated called: cargoId=368, origin.facId=port
[12:03:32] [I] cargoScreen: onCargoGenerated: cargoOverviewScreenOpen is false, returning
[12:03:32] [I] cargoScreen: onCargoGenerated called: cargoId=369, origin.facId=port
[12:03:32] [I] cargoScreen: onCargoGenerated: cargoOverviewScreenOpen is false, returning
[12:03:32] [I] cargoScreen: onCargoGenerated called: cargoId=370, origin.facId=port
[12:03:32] [I] cargoScreen: onCargoGenerated: cargoOverviewScreenOpen is false, returning
[12:03:32] [I] cargoScreen: onCargoGenerated called: cargoId=371, origin.facId=coastWarehouse
[12:03:32] [I] cargoScreen: onCargoGenerated: cargoOverviewScreenOpen is false, returning
[12:03:32] [I] cargoScreen: onCargoGenerated called: cargoId=372, origin.facId=port
[12:03:32] [I] cargoScreen: onCargoGenerated: cargoOverviewScreenOpen is false, returning
[12:03:32] [I] cargoScreen: onCargoGenerated called: cargoId=373, origin.facId=port
[12:03:32] [I] cargoScreen: onCargoGenerated: cargoOverviewScreenOpen is false, returning
[12:03:32] [I] cargoScreen: onCargoGenerated called: cargoId=374, origin.facId=port
[12:03:32] [I] cargoScreen: onCargoGenerated: cargoOverviewScreenOpen is false, returning
[12:03:32] [I] cargoScreen: onCargoGenerated called: cargoId=375, origin.facId=port
[12:03:32] [I] cargoScreen: onCargoGenerated: cargoOverviewScreenOpen is false, returning
[12:03:32] [I] cargoScreen: onCargoGenerated called: cargoId=376, origin.facId=port
[12:03:32] [I] cargoScreen: onCargoGenerated: cargoOverviewScreenOpen is false, returning
[12:03:32] [I] cargoScreen: onCargoGenerated called: cargoId=377, origin.facId=port
[12:03:32] [I] cargoScreen: onCargoGenerated: cargoOverviewScreenOpen is false, returning
[12:03:32] [I] cargoScreen: onCargoGenerated called: cargoId=378, origin.facId=port
[12:03:32] [I] cargoScreen: onCargoGenerated: cargoOverviewScreenOpen is false, returning
[12:03:32] [I] cargoScreen: onCargoGenerated called: cargoId=379, origin.facId=port
[12:03:32] [I] cargoScreen: onCargoGenerated: cargoOverviewScreenOpen is false, returning
[12:03:32] [I] cargoScreen: onCargoGenerated called: cargoId=380, origin.facId=smithsAutoRepair
[12:03:32] [I] cargoScreen: onCargoGenerated: cargoOverviewScreenOpen is false, returning
[12:03:32] [I] cargoScreen: onCargoGenerated called: cargoId=381, origin.facId=port
[12:03:32] [I] cargoScreen: onCargoGenerated: cargoOverviewScreenOpen is false, returning
[12:03:32] [I] cargoScreen: onCargoGenerated called: cargoId=382, origin.facId=port
[12:03:32] [I] cargoScreen: onCargoGenerated: cargoOverviewScreenOpen is false, returning
[12:03:32] [I] cargoScreen: onCargoGenerated called: cargoId=383, origin.facId=port
[12:03:32] [I] cargoScreen: onCargoGenerated: cargoOverviewScreenOpen is false, returning
[12:03:32] [I] cargoScreen: onCargoGenerated called: cargoId=384, origin.facId=port
[12:03:32] [I] cargoScreen: onCargoGenerated: cargoOverviewScreenOpen is false, returning
[12:03:32] [I] cargoScreen: onCargoGenerated called: cargoId=385, origin.facId=port
[12:03:32] [I] cargoScreen: onCargoGenerated: cargoOverviewScreenOpen is false, returning
[12:03:32] [I] cargoScreen: onCargoGenerated called: cargoId=386, origin.facId=port
[12:03:32] [I] cargoScreen: onCargoGenerated: cargoOverviewScreenOpen is false, returning
[12:03:32] [I] cargoScreen: onCargoGenerated called: cargoId=387, origin.facId=port
[12:03:32] [I] cargoScreen: onCargoGenerated: cargoOverviewScreenOpen is false, returning
[12:03:32] [I] cargoScreen: onCargoGenerated called: cargoId=388, origin.facId=port
[12:03:32] [I] cargoScreen: onCargoGenerated: cargoOverviewScreenOpen is false, returning
[12:03:32] [I] cargoScreen: onCargoGenerated called: cargoId=389, origin.facId=port
[12:03:32] [I] cargoScreen: onCargoGenerated: cargoOverviewScreenOpen is false, returning
[12:03:32] [I] cargoScreen: onCargoGenerated called: cargoId=390, origin.facId=port
[12:03:32] [I] cargoScreen: onCargoGenerated: cargoOverviewScreenOpen is false, returning
[12:03:32] [I] cargoScreen: onCargoGenerated called: cargoId=391, origin.facId=port
[12:03:32] [I] cargoScreen: onCargoGenerated: cargoOverviewScreenOpen is false, returning
[12:03:32] [I] cargoScreen: onCargoGenerated called: cargoId=392, origin.facId=port
[12:03:32] [I] cargoScreen: onCargoGenerated: cargoOverviewScreenOpen is false, returning
[12:03:32] [I] cargoScreen: onCargoGenerated called: cargoId=393, origin.facId=port
[12:03:32] [I] cargoScreen: onCargoGenerated: cargoOverviewScreenOpen is false, returning
[12:03:32] [I] cargoScreen: onCargoGenerated called: cargoId=394, origin.facId=port
[12:03:32] [I] cargoScreen: onCargoGenerated: cargoOverviewScreenOpen is false, returning
[12:03:32] [I] cargoScreen: onCargoGenerated called: cargoId=395, origin.facId=port
[12:03:32] [I] cargoScreen: onCargoGenerated: cargoOverviewScreenOpen is false, returning
[12:03:32] [I] cargoScreen: onCargoGenerated called: cargoId=396, origin.facId=port
[12:03:32] [I] cargoScreen: onCargoGenerated: cargoOverviewScreenOpen is false, returning
[12:03:32] [I] cargoScreen: onCargoGenerated called: cargoId=397, origin.facId=port
[12:03:32] [I] cargoScreen: onCargoGenerated: cargoOverviewScreenOpen is false, returning
[12:03:32] [I] cargoScreen: onCargoGenerated called: cargoId=398, origin.facId=port
[12:03:32] [I] cargoScreen: onCargoGenerated: cargoOverviewScreenOpen is false, returning
[12:03:32] [I] cargoScreen: onCargoGenerated called: cargoId=399, origin.facId=port
[12:03:32] [I] cargoScreen: onCargoGenerated: cargoOverviewScreenOpen is false, returning
[12:03:32] [I] cargoScreen: onCargoGenerated called: cargoId=400, origin.facId=port
[12:03:32] [I] cargoScreen: onCargoGenerated: cargoOverviewScreenOpen is false, returning
[12:03:32] [I] cargoScreen: onCargoGenerated called: cargoId=401, origin.facId=port
[12:03:32] [I] cargoScreen: onCargoGenerated: cargoOverviewScreenOpen is false, returning
[12:03:32] [I] cargoScreen: onCargoGenerated called: cargoId=402, origin.facId=port
[12:03:32] [I] cargoScreen: onCargoGenerated: cargoOverviewScreenOpen is false, returning
[12:03:32] [I] cargoScreen: onCargoGenerated called: cargoId=403, origin.facId=port
[12:03:32] [I] cargoScreen: onCargoGenerated: cargoOverviewScreenOpen is false, returning
[12:03:32] [I] cargoScreen: onCargoGenerated called: cargoId=404, origin.facId=port
[12:03:32] [I] cargoScreen: onCargoGenerated: cargoOverviewScreenOpen is false, returning
[12:03:32] [I] cargoScreen: onCargoGenerated called: cargoId=405, origin.facId=port
[12:03:32] [I] cargoScreen: onCargoGenerated: cargoOverviewScreenOpen is false, returning
[12:03:32] [I] cargoScreen: onCargoGenerated called: cargoId=406, origin.facId=port
[12:03:32] [I] cargoScreen: onCargoGenerated: cargoOverviewScreenOpen is false, returning
[12:03:32] [I] cargoScreen: onCargoGenerated called: cargoId=407, origin.facId=port
[12:03:32] [I] cargoScreen: onCargoGenerated: cargoOverviewScreenOpen is false, returning
[12:03:32] [I] cargoScreen: onCargoGenerated called: cargoId=408, origin.facId=port
[12:03:32] [I] cargoScreen: onCargoGenerated: cargoOverviewScreenOpen is false, returning
[12:03:32] [I] cargoScreen: onCargoGenerated called: cargoId=409, origin.facId=watchtowerInn
[12:03:32] [I] cargoScreen: onCargoGenerated: cargoOverviewScreenOpen is false, returning
[12:03:32] [I] cargoScreen: onCargoGenerated called: cargoId=410, origin.facId=watchtowerInn
[12:03:32] [I] cargoScreen: onCargoGenerated: cargoOverviewScreenOpen is false, returning
[12:03:32] [I] cargoScreen: onCargoGenerated called: cargoId=411, origin.facId=watchtowerInn
[12:03:32] [I] cargoScreen: onCargoGenerated: cargoOverviewScreenOpen is false, returning
[12:03:32] [I] cargoScreen: onCargoGenerated called: cargoId=412, origin.facId=watchtowerInn
[12:03:32] [I] cargoScreen: onCargoGenerated: cargoOverviewScreenOpen is false, returning
[12:03:32] [I] cargoScreen: onCargoGenerated called: cargoId=413, origin.facId=port
[12:03:32] [I] cargoScreen: onCargoGenerated: cargoOverviewScreenOpen is false, returning
[12:03:32] [I] cargoScreen: onCargoGenerated called: cargoId=414, origin.facId=port
[12:03:32] [I] cargoScreen: onCargoGenerated: cargoOverviewScreenOpen is false, returning
[12:03:32] [I] cargoScreen: onCargoGenerated called: cargoId=415, origin.facId=port
[12:03:32] [I] cargoScreen: onCargoGenerated: cargoOverviewScreenOpen is false, returning
[12:03:32] [I] cargoScreen: onCargoGenerated called: cargoId=416, origin.facId=port
[12:03:32] [I] cargoScreen: onCargoGenerated: cargoOverviewScreenOpen is false, returning
[12:03:32] [I] cargoScreen: onCargoGenerated called: cargoId=417, origin.facId=kikisDiner
[12:03:32] [I] cargoScreen: onCargoGenerated: cargoOverviewScreenOpen is false, returning
[12:03:32] [I] cargoScreen: onCargoGenerated called: cargoId=418, origin.facId=kikisDiner
[12:03:32] [I] cargoScreen: onCargoGenerated: cargoOverviewScreenOpen is false, returning
[12:03:32] [I] cargoScreen: onCargoGenerated called: cargoId=419, origin.facId=watchtowerInn
[12:03:32] [I] cargoScreen: onCargoGenerated: cargoOverviewScreenOpen is false, returning
[12:03:32] [I] cargoScreen: onCargoGenerated called: cargoId=420, origin.facId=watchtowerInn
[12:03:32] [I] cargoScreen: onCargoGenerated: cargoOverviewScreenOpen is false, returning
[12:03:32] [I] cargoScreen: onCargoGenerated called: cargoId=421, origin.facId=watchtowerInn
[12:03:32] [I] cargoScreen: onCargoGenerated: cargoOverviewScreenOpen is false, returning
[12:03:32] [I] cargoScreen: onCargoGenerated called: cargoId=422, origin.facId=kikisDiner
[12:03:32] [I] cargoScreen: onCargoGenerated: cargoOverviewScreenOpen is false, returning
[12:03:32] [I] cargoScreen: onCargoGenerated called: cargoId=423, origin.facId=kikisDiner
[12:03:32] [I] cargoScreen: onCargoGenerated: cargoOverviewScreenOpen is false, returning
[12:03:32] [I] cargoScreen: onCargoGenerated called: cargoId=424, origin.facId=kikisDiner
[12:03:32] [I] cargoScreen: onCargoGenerated: cargoOverviewScreenOpen is false, returning
[12:03:32] [I] cargoScreen: onCargoGenerated called: cargoId=425, origin.facId=freshFish
[12:03:32] [I] cargoScreen: onCargoGenerated: cargoOverviewScreenOpen is false, returning
[12:03:32] [I] cargoScreen: onCargoGenerated called: cargoId=426, origin.facId=freshFish
[12:03:32] [I] cargoScreen: onCargoGenerated: cargoOverviewScreenOpen is false, returning
[12:03:32] [I] cargoScreen: onCargoGenerated called: cargoId=427, origin.facId=bigWarehouse
[12:03:32] [I] cargoScreen: onCargoGenerated: cargoOverviewScreenOpen is false, returning
[12:03:32] [I] cargoScreen: onCargoGenerated called: cargoId=428, origin.facId=bigWarehouse
[12:03:32] [I] cargoScreen: onCargoGenerated: cargoOverviewScreenOpen is false, returning
[12:03:32] [I] cargoScreen: onCargoGenerated called: cargoId=429, origin.facId=bigWarehouse
[12:03:32] [I] cargoScreen: onCargoGenerated: cargoOverviewScreenOpen is false, returning
[12:03:32] [I] cargoScreen: onCargoGenerated called: cargoId=430, origin.facId=freshFish
[12:03:32] [I] cargoScreen: onCargoGenerated: cargoOverviewScreenOpen is false, returning
[12:03:32] [I] cargoScreen: onCargoGenerated called: cargoId=431, origin.facId=freshFish
[12:03:32] [I] cargoScreen: onCargoGenerated: cargoOverviewScreenOpen is false, returning
[12:03:32] [I] cargoScreen: onCargoGenerated called: cargoId=432, origin.facId=freshFish
[12:03:32] [I] cargoScreen: onCargoGenerated: cargoOverviewScreenOpen is false, returning
[12:03:32] [I] cargoScreen: onCargoGenerated called: cargoId=433, origin.facId=port
[12:03:32] [I] cargoScreen: onCargoGenerated: cargoOverviewScreenOpen is false, returning
[12:03:32] [I] cargoScreen: onCargoGenerated called: cargoId=434, origin.facId=port
[12:03:32] [I] cargoScreen: onCargoGenerated: cargoOverviewScreenOpen is false, returning
[12:03:32] [I] cargoScreen: onCargoGenerated called: cargoId=435, origin.facId=port
[12:03:32] [I] cargoScreen: onCargoGenerated: cargoOverviewScreenOpen is false, returning
[12:03:32] [I] cargoScreen: onCargoGenerated called: cargoId=436, origin.facId=freshFish
[12:03:32] [I] cargoScreen: onCargoGenerated: cargoOverviewScreenOpen is false, returning
[12:03:32] [I] cargoScreen: onCargoGenerated called: cargoId=437, origin.facId=port
[12:03:32] [I] cargoScreen: onCargoGenerated: cargoOverviewScreenOpen is false, returning
[12:03:32] [I] cargoScreen: onCargoGenerated called: cargoId=438, origin.facId=port
[12:03:32] [I] cargoScreen: onCargoGenerated: cargoOverviewScreenOpen is false, returning
[12:03:32] [I] cargoScreen: onCargoGenerated called: cargoId=439, origin.facId=watchtowerInn
[12:03:32] [I] cargoScreen: onCargoGenerated: cargoOverviewScreenOpen is false, returning
[12:03:32] [I] cargoScreen: onCargoGenerated called: cargoId=440, origin.facId=watchtowerInn
[12:03:32] [I] cargoScreen: onCargoGenerated: cargoOverviewScreenOpen is false, returning
[12:03:32] [I] cargoScreen: onCargoGenerated called: cargoId=441, origin.facId=watchtowerInn
[12:03:32] [I] cargoScreen: onCargoGenerated: cargoOverviewScreenOpen is false, returning
[12:03:32] [I] cargoScreen: onCargoGenerated called: cargoId=442, origin.facId=port
[12:03:32] [I] cargoScreen: onCargoGenerated: cargoOverviewScreenOpen is false, returning
[12:03:32] [I] cargoScreen: onCargoGenerated called: cargoId=443, origin.facId=port
[12:03:32] [I] cargoScreen: onCargoGenerated: cargoOverviewScreenOpen is false, returning
[12:03:32] [I] cargoScreen: onCargoGenerated called: cargoId=444, origin.facId=port
[12:03:32] [I] cargoScreen: onCargoGenerated: cargoOverviewScreenOpen is false, returning
[12:03:32] [I] cargoScreen: onCargoGenerated called: cargoId=445, origin.facId=port
[12:03:32] [I] cargoScreen: onCargoGenerated: cargoOverviewScreenOpen is false, returning
[12:03:32] [I] cargoScreen: onCargoGenerated called: cargoId=446, origin.facId=port
[12:03:32] [I] cargoScreen: onCargoGenerated: cargoOverviewScreenOpen is false, returning
[12:03:32] [I] cargoScreen: onCargoGenerated called: cargoId=447, origin.facId=port
[12:03:32] [I] cargoScreen: onCargoGenerated: cargoOverviewScreenOpen is false, returning
[12:03:32] [I] cargoScreen: onCargoGenerated called: cargoId=448, origin.facId=port
[12:03:32] [I] cargoScreen: onCargoGenerated: cargoOverviewScreenOpen is false, returning
[12:03:32] [I] cargoScreen: onCargoGenerated called: cargoId=449, origin.facId=port
[12:03:32] [I] cargoScreen: onCargoGenerated: cargoOverviewScreenOpen is false, returning
[12:03:32] [I] cargoScreen: onCargoGenerated called: cargoId=450, origin.facId=port
[12:03:32] [I] cargoScreen: onCargoGenerated: cargoOverviewScreenOpen is false, returning
[12:03:32] [I] cargoScreen: onCargoGenerated called: cargoId=451, origin.facId=coastWarehouse
[12:03:32] [I] cargoScreen: onCargoGenerated: cargoOverviewScreenOpen is false, returning
[12:03:32] [I] cargoScreen: onCargoGenerated called: cargoId=452, origin.facId=coastWarehouse
[12:03:32] [I] cargoScreen: onCargoGenerated: cargoOverviewScreenOpen is false, returning
[12:03:32] [I] cargoScreen: onCargoGenerated called: cargoId=453, origin.facId=coastWarehouse
[12:03:32] [I] cargoScreen: onCargoGenerated: cargoOverviewScreenOpen is false, returning
[12:03:32] [I] cargoScreen: onCargoGenerated called: cargoId=454, origin.facId=coastWarehouse
[12:03:32] [I] cargoScreen: onCargoGenerated: cargoOverviewScreenOpen is false, returning
[12:03:32] [I] cargoScreen: onCargoGenerated called: cargoId=455, origin.facId=coastWarehouse
[12:03:32] [I] cargoScreen: onCargoGenerated: cargoOverviewScreenOpen is false, returning
[12:03:32] [I] cargoScreen: onCargoGenerated called: cargoId=456, origin.facId=coastWarehouse
[12:03:32] [I] cargoScreen: onCargoGenerated: cargoOverviewScreenOpen is false, returning
[12:03:32] [I] cargoScreen: onCargoGenerated called: cargoId=457, origin.facId=coastWarehouse
[12:03:32] [I] cargoScreen: onCargoGenerated: cargoOverviewScreenOpen is false, returning
[12:03:32] [I] cargoScreen: onCargoGenerated called: cargoId=458, origin.facId=coastWarehouse
[12:03:32] [I] cargoScreen: onCargoGenerated: cargoOverviewScreenOpen is false, returning
[12:03:32] [I] cargoScreen: onCargoGenerated called: cargoId=459, origin.facId=coastWarehouse
[12:03:32] [I] cargoScreen: onCargoGenerated: cargoOverviewScreenOpen is false, returning
[12:03:32] [I] cargoScreen: onCargoGenerated called: cargoId=460, origin.facId=sawmill
[12:03:32] [I] cargoScreen: onCargoGenerated: cargoOverviewScreenOpen is false, returning
[12:03:32] [I] cargoScreen: onCargoGenerated called: cargoId=461, origin.facId=sawmill
[12:03:32] [I] cargoScreen: onCargoGenerated: cargoOverviewScreenOpen is false, returning
[12:03:32] [I] cargoScreen: onCargoGenerated called: cargoId=462, origin.facId=sawmill
[12:03:32] [I] cargoScreen: onCargoGenerated: cargoOverviewScreenOpen is false, returning
[12:03:32] [I] cargoScreen: onCargoGenerated called: cargoId=463, origin.facId=sawmill
[12:03:32] [I] cargoScreen: onCargoGenerated: cargoOverviewScreenOpen is false, returning
[12:03:32] [I] cargoScreen: onCargoGenerated called: cargoId=464, origin.facId=sawmill
[12:03:32] [I] cargoScreen: onCargoGenerated: cargoOverviewScreenOpen is false, returning
[12:03:32] [I] cargoScreen: onCargoGenerated called: cargoId=465, origin.facId=sawmill
[12:03:32] [I] cargoScreen: onCargoGenerated: cargoOverviewScreenOpen is false, returning
[12:03:32] [I] cargoScreen: onCargoGenerated called: cargoId=466, origin.facId=sawmill
[12:03:32] [I] cargoScreen: onCargoGenerated: cargoOverviewScreenOpen is false, returning
[12:03:32] [I] cargoScreen: onCargoGenerated called: cargoId=467, origin.facId=sawmill
[12:03:32] [I] cargoScreen: onCargoGenerated: cargoOverviewScreenOpen is false, returning
[12:03:32] [I] cargoScreen: onCargoGenerated called: cargoId=468, origin.facId=sawmill
[12:03:32] [I] cargoScreen: onCargoGenerated: cargoOverviewScreenOpen is false, returning
[12:03:32] [I] cargoScreen: onCargoGenerated called: cargoId=469, origin.facId=sawmill
[12:03:32] [I] cargoScreen: onCargoGenerated: cargoOverviewScreenOpen is false, returning
[12:03:32] [I] cargoScreen: onCargoGenerated called: cargoId=470, origin.facId=sawmill
[12:03:32] [I] cargoScreen: onCargoGenerated: cargoOverviewScreenOpen is false, returning
[12:03:32] [I] cargoScreen: onCargoGenerated called: cargoId=471, origin.facId=sawmill
[12:03:32] [I] cargoScreen: onCargoGenerated: cargoOverviewScreenOpen is false, returning
[12:03:32] [I] cargoScreen: onCargoGenerated called: cargoId=472, origin.facId=sawmill
[12:03:32] [I] cargoScreen: onCargoGenerated: cargoOverviewScreenOpen is false, returning
[12:03:32] [I] cargoScreen: onCargoGenerated called: cargoId=473, origin.facId=sawmill
[12:03:32] [I] cargoScreen: onCargoGenerated: cargoOverviewScreenOpen is false, returning
[12:03:32] [I] cargoScreen: onCargoGenerated called: cargoId=474, origin.facId=sawmill
[12:03:32] [I] cargoScreen: onCargoGenerated: cargoOverviewScreenOpen is false, returning
[12:03:32] [I] cargoScreen: onCargoGenerated called: cargoId=475, origin.facId=sawmill
[12:03:32] [I] cargoScreen: onCargoGenerated: cargoOverviewScreenOpen is false, returning
[12:03:32] [I] cargoScreen: onCargoGenerated called: cargoId=476, origin.facId=cityCommercial_parking1
[12:03:32] [I] cargoScreen: onCargoGenerated: cargoOverviewScreenOpen is false, returning
